iter	Passed	Remaining
637	3064	1738
638	3068	1733
639	3073	1728
640	3077	1723
641	3081	1718
642	3085	1713
643	3088	1707
644	3092	1701
645	3096	1696
646	3100	1691
647	3105	1686
648	3108	1681
649	3112	1675
650	3116	1670
651	3120	1665
652	3124	1660
653	3129	1655
654	3133	1650
655	3137	1645
656	3141	1639
657	3147	1635
658	3152	1631
659	3155	1625
660	3159	1620
661	3163	1615
662	3168	1610
663	3173	1605
664	3176	1600
665	3179	1594
666	3184	1590
667	3192	1586
668	3198	1582
669	3203	1577
670	3218	1578
671	3237	1580
672	3250	1579
673	3261	1577
674	3265	1572
675	3270	1567
676	3274	1562
677	3278	1556
678	3282	1551
679	3285	1546
680	3289	1540
681	3292	1535
682	3295	1529
683	3299	1524
684	3302	1518
685	3306	1513
686	3309	1507
687	3314	1502
688	3317	1497
689	3321	1492
690	3324	1486
691	3327	1481
692	3331	1475
693	3335	1470
694	3338	1465
695	3341	1459
696	3345	1454
697	3349	1449
698	3352	1443
699	3356	1438
700	3359	1432
701	3362	1427
702	3366	1422
703	3370	1417
704	3377	1413
705	3382	1408
706	3388	1404
707	3393	1399
708	3400	1395
709	3408	1392
710	3414	1387
711	3419	1383
712	3425	1378
713	3430	1374
714	3434	1369
715	3437	1363
716	3442	1358
717	3447	1353
718	3451	1348
719	3454	1343
720	3458	1338
721	3461	1332
722	3465	1327
723	3468	1322
724	3474	1317
725	3478	1312
726	3481	1307
727	3485	1302
728	3489	1297
729	3493	1291
730	3497	1286
731	3501	1281
732	3505	1276
733	3508	1271
734	3511	1266
735	3515	1261
736	3519	1255
737	3522	1250
738	3526	1245
739	3530	1240
740	3533	1235
741	3537	1230
742	3541	1224
743	3544	1219
744	3548	1214
745	3551	1209
746	3555	1204
747	3558	1198
748	3562	1193
749	3565	1188
750	3570	1183
751	3578	1179
752	3587	1176
753	3596	1173
754	3603	1169
755	3608	1164
756	3619	1161
757	3626	1157
758	3631	1153
759	3637	1148
760	3641	1143
761	3646	1138
762	3649	1133
763	3653	1128
764	3657	1123
765	3661	1118
766	3665	1113
767	3668	1108
768	3672	1103
769	3679	1099
770	3684	1094
771	3688	1089
772	3692	1084
773	3696	1079
774	3700	1074
775	3703	1069
776	3707	1063
777	3710	1058
778	3714	1053
779	3717	1048
780	3721	1043
781	3726	1038
782	3730	1033
783	3736	1029
784	3739	1024
785	3743	1019
786	3747	1014
787	3750	1009
788	3754	1004
789	3758	998
790	3762	994
791	3768	989
792	3776	985
793	3783	981
794	3790	977
795	3797	973
796	3802	968
797	3808	963
798	3813	959
799	3816	954
800	3822	949
801	3827	945
802	3832	940
803	3836	935
804	3840	930
805	3844	925
806	3847	920
807	3852	915
808	3856	910
809	3861	905
810	3865	900
811	3870	896
812	3873	890
813	3878	886
814	3883	881
815	3887	876
816	3890	871
817	3894	866
818	3899	861
819	3902	856
820	3906	851
821	3909	846
822	3913	841
823	3918	836
824	3923	832
825	3928	827
826	3932	822
827	3945	819
828	3950	814
829	3958	810
830	3974	808
831	3982	804
832	3987	799
833	3992	794
834	3997	789
835	4015	787
836	4028	784
837	4035	780
838	4043	775
839	4046	770
840	4050	765
841	4054	760
842	4057	755
843	4062	750
844	4066	745
845	4071	741
846	4078	736
847	4081	731
848	4085	726
849	4088	721
850	4096	717
851	4101	712
852	4106	707
853	4113	703
854	4118	698
855	4122	693
856	4125	688
857	4129	683
858	4133	678
859	4136	673
860	4140	668
861	4144	663
862	4147	658
863	4156	654
864	4171	651
865	4176	646
866	4181	641
867	4187	636
868	4192	631
869	4198	627
870	4207	623
871	4213	618
872	4218	613
873	4224	608
874	4227	603
875	4230	598
876	4234	593
877	4238	588
878	4241	583
879	4245	578
880	4250	574
881	4254	569
882	4258	564
883	4262	559
884	4266	554
885	4270	549
886	4273	544
887	4277	539
888	4281	534
889	4284	529
890	4288	524
891	4292	519
892	4296	514
893	4300	509
894	4304	505
895	4309	500
896	4312	495
897	4316	490
898	4321	485
899	4324	480
900	4328	475
901	4332	470
902	4335	465
903	4339	460
904	4343	455
905	4349	451
906	4356	446
907	4362	442
908	4367	437
909	4373	432
910	4378	427
911	4383	422
912	4389	418
913	4395	413
914	4402	408
915	4405	404
916	4409	399
917	4413	394
918	4416	389
919	4420	384
920	4423	379
921	4427	374
922	4431	369
923	4434	364
924	4439	359
925	4444	355
926	4449	350
927	4453	345
928	4457	340
929	4460	335
930	4464	330
931	4468	326
932	4471	321
933	4474	316
934	4478	311
935	4482	306
936	4487	301
937	4493	296
938	4498	292
939	4502	287
940	4507	282
941	4511	277
942	4514	272
943	4518	268
944	4521	263
945	4525	258
946	4531	253
947	4535	248
948	4540	244
949	4546	239
950	4552	234
951	4558	229
952	4564	225
953	4573	220
954	4580	215
955	4585	211
956	4591	206
957	4598	201
958	4602	196
959	4605	191
960	4609	187
961	4614	182
962	4617	177
963	4621	172
964	4625	167
965	4628	162
966	4632	158
967	4635	153
968	4639	148
969	4642	143
970	4646	138
971	4649	133
972	4652	129
973	4656	124
974	4661	119
975	4666	114
976	4670	109
977	4674	105
978	4679	100
979	4683	95
980	4687	90
981	4690	85
982	4694	81
983	4697	76
984	4701	71
985	4704	66
986	4708	62
987	4711	57
988	4715	52
989	4718	47
990	4722	42
991	4725	38
992	4729	33
993	4733	28
994	4737	23
995	4745	19
996	4754	14
997	4763	9
998	4774	4
999	4785	0
